CHARACTER DISTANCE,FOOD DISTANCE,SKILL LEVEL,STEERING ACTION
159.286,404.765,28,PATHFINDING
159.01,404.431,28,PATHFINDING
158.747,404.112,28,PATHFINDING
158.493,403.805,28,PATHFINDING
158.25,403.512,28,PATHFINDING
157.486,403.9,28,PATHFINDING
157.092,403.851,28,PATHFINDING
156.507,404.079,28,PATHFINDING
157.252,404.128,28,PATHFINDING
157.147,404.289,28,PATHFINDING
157.58,404.375,28,PATHFINDING
157.667,404.506,28,PATHFINDING
157.969,404.605,28,PATHFINDING
158.128,404.721,28,PATHFINDING
158.373,404.822,28,PATHFINDING
158.557,404.929,28,PATHFINDING
157.581,403.962,28,PATHFINDING
157.38,403.718,28,PATHFINDING
156.719,403.053,28,PATHFINDING
156.384,402.693,28,PATHFINDING
